,종목코드,종목명,업종,코스닥여부
1414,510004,대신 인버스 아연선물 ETN(H),기타,N
1415,510005,대신 2X 아연선물 ETN(H),기타,N
1416,510006,대신 인버스 니켈선물 ETN(H),기타,N
1417,510007,대신 2X 니켈선물 ETN(H),기타,N
1418,510010,대신 인버스 2X 니켈선물 ETN(H),기타,N
1419,510008,대신 철광석 선물 ETN(H),기타,N
1420,510009,대신 인버스 철광석 선물 ETN(H),기타,N
1421,520004,미래에셋 전기전자 Core5 ETN,기타,N
1422,520005,미래에셋 인버스 전기전자 Core5 ETN,기타,N
1423,520006,미래에셋 에너지화학 Core5 ETN,기타,N
1424,520007,미래에셋 인버스 에너지화학 Core5 ETN,기타,N
1425,520013,미래에셋 Q150 Core5 ETN,기타,N
1426,520014,미래에셋 미디어엔터 Core5 ETN,기타,N
1427,520015,미래에셋 인버스 미디어엔터 Core5 ETN,기타,N
1428,520026,미래에셋 코스피 양매도 5% OTM ETN,기타,N
1429,520009,미래에셋 레버리지 원유선물혼합 ETN(H),기타,N
1430,520010,미래에셋 원유선물혼합 ETN(H),기타,N
1431,520011,미래에셋 인버스 원유선물혼합 ETN(H),기타,N
1432,520020,미래에셋 미국 시니어론 100 ETN(H),기타,N
1433,520021,미래에셋 미국 시니어론 100 ETN,기타,N
1434,520012,미래에셋 호주 ASX200 ETN(H),기타,N
1435,520003,미래에셋 원자재 선물 ETN(H),기타,N
1436,530003,삼성 모멘텀 탑픽 ETN,기타,N
1437,530004,삼성 화장품 테마주 ETN,기타,N
1438,530005,삼성 바이오 테마주 ETN,기타,N
1439,530006,삼성 음식료 테마주 ETN,기타,N
1440,530007,삼성 레저 테마주 ETN,기타,N
1441,530008,삼성 미디어 테마주 ETN,기타,N
1442,530009,삼성 증권 테마주 ETN,기타,N
1443,530010,삼성 건축자재 테마주 ETN,기타,N
1444,530011,삼성 온라인쇼핑 테마주 ETN,기타,N
1445,530012,삼성 화학 테마주 ETN,기타,N
1446,530013,삼성 KTOP30 ETN,기타,N
1447,530067,삼성 KRX 금현물 ETN,기타,N
1448,530053,삼성 코스피 풋매도 ETN,기타,N
1449,530060,삼성 코스피 양매도 5% OTM ETN,기타,N
1450,530066,삼성 코스피 풋매도 4% OTM ETN,기타,N
1451,530015,삼성 미국 대형 성장주 ETN(H),기타,N
1452,530016,삼성 미국 대형 가치주 ETN(H),기타,N
1453,530017,삼성 미국 중소형 성장주 ETN(H),기타,N
1454,530018,삼성 미국 중소형 가치주 ETN(H),기타,N
1455,530019,삼성 미국 대형 성장주 ETN,기타,N
1456,530020,삼성 미국 대형 가치주 ETN,기타,N
1457,530021,삼성 미국 중소형 성장주 ETN,기타,N
1458,530022,삼성 미국 중소형 가치주 ETN,기타,N
1459,530032,삼성 Cushing 에너지인프라 MLP ETN,기타,N
1460,530033,삼성 Alerian 에너지인프라 MLP ETN,기타,N
1461,530031,삼성 레버리지 WTI원유 선물 ETN,기타,N
1462,530036,삼성 인버스 2X WTI원유 선물 ETN,기타,N
1463,530037,삼성 레버리지 천연가스 선물 ETN,기타,N
1464,530038,삼성 인버스 2X 천연가스 선물 ETN,기타,N
1465,530055,삼성 레버리지 금 선물 ETN(H),기타,N
1466,530056,삼성 인버스 2X 금 선물 ETN(H),기타,N
1467,530061,삼성 레버리지 은 선물 ETN(H),기타,N
1468,530062,삼성 인버스 2X 은 선물 ETN(H),기타,N
1469,530063,삼성 레버리지 구리 선물 ETN(H),기타,N
1470,530064,삼성 인버스 2X 구리 선물 ETN(H),기타,N
1471,530065,삼성 S&P500 VIX S/T 선물 ETN(H) B,기타,N
1472,530002,삼성 인버스 China A50 선물 ETN(H),기타,N
1473,530014,삼성 China A50 선물 ETN(H),기타,N
1474,530023,삼성 레버리지 China A50 선물 ETN(H),기타,N
1475,550001,QV Big Vol ETN,기타,N
1476,550002,QV WISE 배당 ETN,기타,N
1477,550004,QV 롱숏 K150 매수 로우볼 매도 ETN,기타,N
1478,550005,QV 에너지 TOP5 ETN,기타,N
1479,550006,QV 내수소비 TOP5 ETN,기타,N
1480,550007,QV 조선 TOP5 ETN,기타,N
1481,550008,QV 소프트웨어 TOP5 ETN,기타,N
1482,550009,QV 하드웨어 TOP5 ETN,기타,N
1483,550010,QV 운송 TOP5 ETN,기타,N
1484,550011,QV 자동차 TOP5 ETN,기타,N
1485,550012,QV 의료 TOP5 ETN,기타,N
1486,550013,QV 화학 TOP5 ETN,기타,N
1487,550014,QV 바이오 TOP5 ETN,기타,N
1488,550015,QV 제약 TOP5 ETN,기타,N
1489,550016,QV 건설 TOP5 ETN,기타,N
1490,550026,QV KTOP30 ETN,기타,N
1491,550033,QV 스마트리밸런싱 260/4 ETN,기타,N
1492,550046,QV 레버리지 10년 국채선물 ETN,기타,N
1493,550047,QV 인버스 레버리지 10년 국채선물 ETN,기타,N
1494,550056,QV 코스피 양매도 5% OTM ETN,기타,N
1495,550057,QV 코스피 변동성 매칭형 양매도 ETN,기타,N
1496,550041,QV 미국 IT TOP5 ETN(H),기타,N
1497,550044,QV 레버리지 S&P500 ETN,기타,N
1498,550045,QV 인버스 레버리지 S&P500 ETN,기타,N
1499,550052,QV MSCI 선진국 ETN,기타,N
1500,550053,QV 인버스 MSCI 선진국 ETN,기타,N
1501,550054,QV 레버리지 MSCI 선진국 ETN,기타,N
1502,550055,QV 인버스 레버리지 MSCI 선진국 ETN,기타,N
1503,550042,QV 레버리지 WTI원유 선물 ETN(H),기타,N
1504,550043,QV 인버스 레버리지 WTI원유 선물 ETN(H),기타,N
1505,550058,QV S&P500 VIX S/T 선물 ETN B,기타,N
1506,550018,QV CHINEXT ETN(H),기타,N
1507,570045,TRUE 레버리지 천연가스 선물 ETN(H),기타,N
1508,570046,TRUE 인버스 2X 천연가스 선물 ETN(H),기타,N
1509,570047,TRUE FTSE100 ETN,기타,N
1510,570048,TRUE 유로스탁스50 양매도 5% OTM ETN(H),기타,N
1511,570049,TRUE S&P500 양매도 4% OTM ETN(H),기타,N
1512,570050,TRUE S&P500 선물 ETN,기타,N
1513,570051,TRUE 나스닥 100 ETN,기타,N
1514,570003,TRUE 빅5 동일가중 ETN,기타,N
1515,570008,TRUE 섹터탑픽 ETN,기타,N
1516,570009,TRUE 코리아프리미어 ETN,기타,N
1517,570019,TRUE 코스피 양매도 5% OTM ETN,기타,N
1518,570020,TRUE 코스피 커버드콜 ETN B,기타,N
1519,570021,TRUE 코스피 커버드풋 ETN B,기타,N
1520,570024,TRUE 코스피 타겟볼20 ETN,기타,N
1521,570029,TRUE 코스피 양매도 3% OTM ETN,기타,N
1522,570030,TRUE 코스피 양매도 ATM ETN,기타,N
1523,570022,TRUE 레버리지 S&P500 선물 ETN(H),기타,N
1524,570023,TRUE 인버스 2X S&P500 선물 ETN(H),기타,N
1525,570042,TRUE 인버스 나스닥 100 ETN,기타,N
1526,570043,TRUE 레버리지 나스닥 100 ETN,기타,N
1527,570044,TRUE 인버스 2X 나스닥 100 ETN,기타,N
1528,570025,TRUE 인버스 유로스탁스50 ETN(H) B,기타,N
1529,570026,TRUE 레버리지 유로스탁스50 ETN(H),기타,N
1530,570027,TRUE 인버스 2X 유로스탁스50 ETN(H),기타,N
1531,570037,TRUE 유로선물 ETN B,기타,N
1532,570038,TRUE 인버스 유로선물 ETN B,기타,N
1533,570034,TRUE 엔선물 ETN B,기타,N
1534,570035,TRUE 레버리지 엔선물 ETN B,기타,N
1535,570036,TRUE 인버스 엔선물 ETN B,기타,N
1536,570028,TRUE 인버스 HSCEI ETN(H) B,기타,N
1537,570031,TRUE 레버리지 HSCEI ETN(H),기타,N
1538,570032,TRUE 인버스 2X HSCEI ETN(H),기타,N
1539,580006,KB KTOP30 ETN,기타,N
1540,580007,KB KQ 우량주30 ETN,기타,N
1541,580008,KB 코스피 양매도 5% OTM ETN,기타,N
1542,580009,KB 코스피 마운틴 ETN,기타,N
1543,580010,KB Wise 분할매매 ETN,기타,N
1544,590007,미래에셋 미국 대형주 ETN(H),기타,N
1545,590008,미래에셋 미국 중형주 ETN(H),기타,N
1546,590009,미래에셋 미국 항공우주 ETN(H),기타,N
1547,590010,미래에셋 레버리지 S&P500 ETN(H),기타,N
1548,590011,미래에셋 인버스 S&P500 ETN(H),기타,N
1549,590013,미래에셋 미국 리츠 ETN(H),기타,N
1550,590016,미래에셋 미국 헬스케어 ETN(H),기타,N
1551,590017,미래에셋 미국 고배당주 ETN(H),기타,N
1552,590003,미래에셋 유럽 대형주 ETN(H),기타,N
1553,590004,미래에셋 유럽 중형주 ETN(H),기타,N
1554,590005,미래에셋 일본 대형주 ETN(H),기타,N
1555,590006,미래에셋 일본 중형주 ETN(H),기타,N
1556,590018,미래에셋 중국 심천 100 ETN,기타,N
1557,590012,미래에셋 글로벌 리츠 ETN(H),기타,N
1558,700001,하나 코스피 변동성추세 추종 양매도 ETN,기타,N
1559,900140,엘브이엠씨홀딩스,자동차,N
1560,,,,
