Date,open,high,low,close,volume,change,1month_close,1month_change,TARGET,_qcut,bol_upperband,bol_middleband,bol_lowerband,macd,macd_signal,macd_hist,bolinger_pca
2010-01-29,16000,16019,15600,15680,457285,-0.02970297029702973,15720.0,0.002551020408163265,-3.0,0.0,17113.943818008134,16402.0,15690.056181991866,,,,-27994.82139605659
2010-02-01,15679,15700,15300,15540,501042,-0.008928571428571397,15680.0,0.009009009009009009,-3.0,0.0,17170.94943660633,16370.0,15569.050563393668,,,,-28044.24039248455
2010-02-02,15800,15800,15400,15440,393803,-0.006435006435006385,15560.0,0.007772020725388601,-3.0,0.0,17216.392771055187,16320.0,15423.607228944811,,,,-28124.37153166088
2010-02-03,15640,15700,15360,15540,330235,0.006476683937823857,15560.0,0.001287001287001287,-3.0,0.0,17182.723259662776,16256.0,15329.276740337224,,,,-28233.073280258788
2010-02-04,15500,15660,15440,15520,239799,-0.0012870012870013214,15360.0,-0.010309278350515464,-3.0,-3.0,17199.650804313136,16219.0,15238.349195686864,,,,-28293.485769098847
2010-02-05,15160,15220,14940,15000,515034,-0.03350515463917525,15300.0,0.02,0.0,0.0,17257.334935896277,16148.0,15038.665064103721,,,,-28407.729198566863
2010-02-08,14940,15080,14820,14960,439608,-0.002666666666666706,15960.0,0.06684491978609626,1.0,3.0,17321.55306633291,16099.0,14876.44693366709,,,,-28484.94302199795
2010-02-09,14959,15220,14840,15220,337459,0.017379679144384985,15940.0,0.04730617608409987,1.0,1.0,17331.0921841805,16051.0,14770.9078158195,,,,-28564.145588415515
2010-02-10,15260,15280,15039,15100,263846,-0.007884362680683266,16080.0,0.06490066225165562,1.0,3.0,17354.36091811826,16009.0,14663.639081881744,,,,-28632.451177242452
2010-02-11,15140,15300,15120,15260,265050,0.01059602649006619,16020.0,0.04980340760157274,1.0,1.0,17304.933821919287,15945.0,14585.066178080713,,,,-28742.205391846266
2010-02-12,15340,15340,14900,15000,458574,-0.017038007863695914,16180.0,0.07866666666666666,1.0,3.0,17207.239269848575,15853.0,14498.760730151425,,,,-28901.75659667694
2010-02-16,15000,15179,14960,15120,154766,0.008000000000000007,16380.0,0.08333333333333333,1.0,3.0,17073.033281902186,15766.0,14458.966718097814,,,,-29055.429804679858
